TimeStamp, Open, Close, High, Low, Volume, BaseVolume
5/2/2017 3:42:00 PM,0.00045,0.00045,0.00045,0.00045,15701.35784375,7.065611
5/2/2017 9:51:00 PM,0.00045,0.00045,0.00045,0.00045,33.65213966,0.01514345
5/2/2017 10:54:00 PM,0.00999999,0.00999999,0.00999999,0.00999999,1000,9.99999
5/3/2017 12:02:00 AM,0.00056666,0.00056666,0.00056666,0.00056666,78.59870014,0.04453873
5/3/2017 1:24:00 AM,0.00349988,0.00349988,0.00349988,0.00349988,345,1.2074586
5/3/2017 3:49:00 AM,0.00299989,0.0029999,0.0029999,0.00299989,1010,3.02989492
5/3/2017 4:19:00 AM,0.0029999,0.0029999,0.0029999,0.0029999,50,0.149995
5/3/2017 4:20:00 AM,0.0029999,0.0029999,0.0029999,0.0029999,325.89263346,0.97764531
5/3/2017 5:59:00 AM,0.00259998,0.00259998,0.00259998,0.00259998,45.15561855,0.1174037
5/3/2017 7:51:00 AM,0.0010707,0.00057088,0.0010707,0.00057088,1000,0.57307946
5/3/2017 7:53:00 AM,0.00057088,0.0005707,0.00057088,0.0005707,250,0.14267579
5/3/2017 7:59:00 AM,0.0005707,0.0005701,0.0005707,0.0005701,50,0.02850763
5/3/2017 1:03:00 PM,0.00207988,0.00207988,0.00207988,0.00207988,9.11121108,0.01895022
5/3/2017 2:09:00 PM,0.00207988,0.0015001,0.00207988,0.0015001,48.94734924,0.10048405
5/3/2017 2:26:00 PM,0.00269997,0.00269997,0.00269997,0.00269997,103.54947908,0.27958048
5/3/2017 2:27:00 PM,0.00269997,0.00269997,0.00269997,0.00269997,0.40378879,0.00109021
5/3/2017 2:43:00 PM,0.0026,0.0026,0.0026,0.0026,405.46719316,1.0542147
5/3/2017 3:26:00 PM,0.0015001,0.0015001,0.0015001,0.0015001,0.51200204,0.00076805
5/3/2017 3:38:00 PM,0.0015001,0.0015001,0.0015001,0.0015001,46.1079797,0.06916658
5/3/2017 4:08:00 PM,0.0015001,0.0015001,0.0015001,0.0015001,405.46719316,0.60824132
5/3/2017 5:21:00 PM,0.001523,0.001523,0.001523,0.001523,27.50337046,0.04188762
5/4/2017 2:13:00 AM,0.001523,0.001523,0.001523,0.001523,106.97465915,0.1629224
5/4/2017 11:33:00 AM,0.0015001,0.0015001,0.0015001,0.0015001,1419.43537098,2.12929498
5/5/2017 4:26:00 PM,0.0016,0.0016,0.0016,0.0016,145.87598713,0.23340157
5/5/2017 9:32:00 PM,0.00110106,0.00110106,0.00110106,0.00110106,1.59947569,0.00176111
5/5/2017 11:56:00 PM,0.002,0.002,0.002,0.002,10,0.02
5/6/2017 1:29:00 AM,0.002,0.002,0.002,0.002,1000,1.99999998
5/6/2017 11:40:00 AM,0.00180001,0.00180001,0.00180001,0.00180001,109.02282968,0.19624217
5/6/2017 12:40:00 PM,0.00175002,0.00170002,0.00175002,0.00170002,222.79115878,0.38116932
5/6/2017 12:41:00 PM,0.00175003,0.00170002,0.00175003,0.00170002,274.02710285,0.47955236
5/6/2017 2:04:00 PM,0.00160002,0.00170002,0.00170002,0.00160002,41.18796709,0.06913581
5/6/2017 3:34:00 PM,0.0017,0.0017,0.0017,0.0017,590,1.003
5/6/2017 6:54:00 PM,0.00176,0.00176053,0.00176053,0.00176,278.08495875,0.48957435
5/6/2017 8:56:00 PM,0.00199,0.00199,0.00199,0.00199,60.93809262,0.1212668
5/7/2017 12:15:00 AM,0.0019,0.0019,0.0019,0.0019,54.7365216,0.10399939
5/7/2017 12:17:00 AM,0.0019,0.0019,0.0019,0.0019,274.26247128,0.52109869
5/7/2017 12:24:00 AM,0.0019,0.0019,0.0019,0.0019,412.15151305,0.78308787
5/7/2017 12:25:00 AM,0.0019,0.0019,0.0019,0.0019,567.36174427,1.0779873
5/7/2017 12:43:00 AM,0.0019,0.0019,0.0019,0.0019,1340.83121055,2.54757928
5/7/2017 1:46:00 AM,0.00150004,0.0015,0.00150004,0.0015,13717,20.5755197
5/7/2017 6:37:00 AM,0.00209999,0.00209999,0.00209999,0.00209999,3,0.00629997
5/7/2017 6:46:00 AM,0.00209999,0.00209999,0.00209999,0.00209999,316.08839318,0.66378246
5/7/2017 5:45:00 PM,0.00168889,0.00168888,0.00168889,0.00168888,2665.22949983,4.50125673
5/7/2017 6:43:00 PM,0.00168888,0.00168888,0.00168888,0.00168888,390.17395124,0.65895698
5/7/2017 6:44:00 PM,0.00168888,0.00168888,0.00168888,0.00168888,389.70120345,0.65815856
5/7/2017 6:51:00 PM,0.00199999,0.00199999,0.00199999,0.00199999,1745.63372817,3.49124998
5/7/2017 7:19:00 PM,0.00199999,0.00199999,0.00199999,0.00199999,4252.29022076,8.50453791
5/7/2017 8:12:00 PM,0.00199999,0.00168889,0.00199999,0.00168889,56.29631389,0.112146
5/7/2017 9:59:00 PM,0.00189999,0.0019,0.0019,0.00189999,5.96439661,0.01133233
5/8/2017 6:03:00 AM,0.0019,0.0019,0.0019,0.0019,324.36230528,0.61628838
5/8/2017 6:04:00 AM,0.0019,0.0019,0.0019,0.0019,1214.79106557,2.30810301
5/8/2017 6:07:00 AM,0.0019,0.0019,0.0019,0.0019,35.84662915,0.06810859
5/8/2017 6:09:00 AM,0.0019,0.00190001,0.00190001,0.0019,409.86869951,0.77875447
5/8/2017 6:10:00 AM,0.00190001,0.00190001,0.00190001,0.00190001,525.65679554,0.99875315
5/8/2017 11:31:00 AM,0.00190001,0.00190001,0.00190001,0.00190001,524.99723686,0.99749999
5/8/2017 1:07:00 PM,0.00190001,0.00190001,0.00190001,0.00190001,12945.57768598,24.59672679
5/8/2017 1:45:00 PM,0.00190001,0.00190001,0.00190001,0.00190001,290.07371613,0.55114296
5/8/2017 1:46:00 PM,0.00190001,0.00190001,0.00190001,0.00190001,407.91244288,0.77503771
5/8/2017 1:50:00 PM,0.00190001,0.00190001,0.00190001,0.00190001,1255.44963817,2.38536685
5/8/2017 1:51:00 PM,0.00190001,0.00190001,0.00190001,0.00190001,10000.99609778,19.00199241
5/8/2017 1:52:00 PM,0.00190001,0.00190001,0.00190001,0.00190001,99.92648604,0.18986131
5/8/2017 2:38:00 PM,0.00190003,0.00190001,0.00190003,0.00190001,525.05564368,0.99762146
5/8/2017 2:41:00 PM,0.00190001,0.00190001,0.00190001,0.00190001,2624.98618428,4.98749999
5/8/2017 3:51:00 PM,0.00198733,0.00198733,0.00198733,0.00198733,0.25598416,0.00050872
5/8/2017 4:56:00 PM,0.00173335,0.00173333,0.00173335,0.00173333,1201.19592555,2.08207192
5/8/2017 4:57:00 PM,0.00173333,0.00173333,0.00173333,0.00173333,276.87636135,0.4799181
5/8/2017 10:15:00 PM,0.00173333,0.00173333,0.00173333,0.00173333,188.9771896,0.32755982
5/8/2017 10:16:00 PM,0.00173333,0.00173333,0.00173333,0.00173333,370.33981638,0.6419211
5/8/2017 10:17:00 PM,0.00173333,0.00173333,0.00173333,0.00173333,1588.40644039,2.7532325
5/8/2017 11:14:00 PM,0.00173333,0.00173333,0.00173333,0.00173333,1586.81705647,2.75047758
5/8/2017 11:37:00 PM,0.00173333,0.00173333,0.00173333,0.00173333,443.2221633,0.76825027
5/8/2017 11:38:00 PM,0.00173333,0.00173333,0.00173333,0.00173333,196.95587451,0.34138951
5/8/2017 11:39:00 PM,0.00173333,0.00173333,0.00173333,0.00173333,413.7345747,0.71713852
5/8/2017 11:40:00 PM,0.00173333,0.00173333,0.00173333,0.00173333,319.18259519,0.55324875
5/8/2017 11:41:00 PM,0.00173333,0.00173333,0.00173333,0.00173333,459.92362025,0.79719938
5/8/2017 11:43:00 PM,0.00173333,0.00173333,0.00173333,0.00173333,114.59548135,0.19863178
5/9/2017 12:51:00 AM,0.00173333,0.00173333,0.00173333,0.00173333,2727.84936338,4.72826312
5/9/2017 1:22:00 AM,0.00173333,0.00173333,0.00173333,0.00173333,103.12510996,0.17874981
5/9/2017 1:23:00 AM,0.00173333,0.00173333,0.00173333,0.00173333,1320.50420855,2.28886953
5/9/2017 1:31:00 AM,0.0017,0.0017,0.0017,0.0017,3.29182232,0.00559609
5/9/2017 1:34:00 AM,0.0017,0.0017,0.0017,0.0017,60.98809332,0.10367975
5/9/2017 1:38:00 AM,0.0017,0.00168886,0.0017,0.00168886,3.13170823,0.00529048
5/9/2017 3:44:00 AM,0.00175,0.00175,0.00175,0.00175,174.90928467,0.30609124
5/9/2017 3:58:00 AM,0.00175,0.00169,0.00175,0.00169,436.64634973,0.76408002
5/9/2017 5:46:00 AM,0.00169,0.001678,0.00169,0.001678,611.29906962,1.03307806
5/9/2017 5:49:00 AM,0.001678,0.0016777,0.001678,0.0016777,1367.64376464,2.29470969
5/9/2017 5:50:00 AM,0.0016777,0.0016771,0.0016777,0.0016771,701.62304093,1.17694251
5/9/2017 6:22:00 AM,0.0016771,0.0016771,0.0016771,0.0016771,113.09981487,0.18967969
